family,dataset,sequence_length,model_seed,status,checkpoint,sha256,step,has_model,has_ema,source_commit
Diffusion-TS,ETTh,128,123,REUSED,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_123/checkpoints_128/checkpoint-10.pt,3be988a75c00b2ef3ea898de110cb9a21bd4863198e086896b88c62b59840214,18000,True,True,
PETS-U,AirQuality,128,0,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_0/checkpoints/checkpoint-10.pt,c1ed048ab649a8b90a0e27abd4ebc021aea6e75ed226e87fbfd0d0fd765a7ee5,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,128,42,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_42/checkpoints/checkpoint-10.pt,51d7f40fd0fc630e4166e67e47a66904bacc31562d97b8a3be094a36749983ab,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,128,123,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_123/checkpoints/checkpoint-10.pt,3270a02cf7107713eaf363213847d5685b71faffa492b8f647b5e8aea6185b6e,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,AirQuality,128,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_0/checkpoints_128/checkpoint-10.pt,23aa2a0489865dafdb0e19f2c77f6e1f33320be8d584dc75b2433b7e750aead3,18000,True,True,
Diffusion-TS,AirQuality,128,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_42/checkpoints_128/checkpoint-10.pt,422addbb3473585c723e1d258c25c15c2545fb5038b1af95afac62683d04c52c,18000,True,True,
Diffusion-TS,AirQuality,128,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_123/checkpoints_128/checkpoint-10.pt,66976c10d1f6f11dcc2c2b5487854ad844b9c820d8c8d91f0d6caef51e0642ba,18000,True,True,
PETS-U,AirQuality,64,0,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_0/checkpoints/checkpoint-10.pt,7c8bc0322c4288bf51847a08867d251d17e61b8528e1ff015540509a2328636b,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,64,42,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_42/checkpoints/checkpoint-10.pt,bf6c2290c5124c3b7ba63bf14a8c1664e443e1da0f6870f2a3aa72f8644195bf,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,64,123,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_123/checkpoints/checkpoint-10.pt,b0c0df6e061380d1b292639a7600e4041743d217bc578dbd728f7fea4f386513,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,AirQuality,64,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_0/checkpoints_64/checkpoint-10.pt,daabb48525bc6bc0d6ec421cc273257571686ccd2e6d466b740ce9622358c67c,18000,True,True,
Diffusion-TS,AirQuality,64,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_42/checkpoints_64/checkpoint-10.pt,8ee7e9125fb641a12f2b458fcb87971670c7fabe99bcdeb38c7161472cbf2170,18000,True,True,
Diffusion-TS,AirQuality,64,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_123/checkpoints_64/checkpoint-10.pt,95b976d4400b505118b4b6b6d61fdae142ee81c37e6cebbde751e79254d854e3,18000,True,True,
PETS-U,AirQuality,256,0,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_0/checkpoints/checkpoint-10.pt,fcd4d7caa66aa938eab0d598b09c0aad667e8bade3eb0e9ba7e7d9a65bcfe523,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,256,42,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_42/checkpoints/checkpoint-10.pt,5281a6792af30a680955506b408dbbacaf80cbc04c30f620661b65153fa6bafe,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,AirQuality,256,123,REUSED,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_123/checkpoints/checkpoint-10.pt,8ee3f5a561fec3a0c8c08e3944f1f76071eca4f31c100dc9cc7367c6111ed0a4,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,AirQuality,256,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_0/checkpoints_256/checkpoint-10.pt,bb656a8ede570ddcbc82cbf2da950c2133b423fc4c8db661316f39f20233a890,18000,True,True,
Diffusion-TS,AirQuality,256,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_42/checkpoints_256/checkpoint-10.pt,b695b730e48b480bccbba13027e724b9cf95e541e372f513e759b46be43e5484,18000,True,True,
Diffusion-TS,AirQuality,256,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_123/checkpoints_256/checkpoint-10.pt,a5c3a4a8628092cea8bd95f005494bad23068fb536eaf1f272dfad0161dcf567,18000,True,True,
PETS-U,Energy,128,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_0/checkpoints/checkpoint-10.pt,10ca6b4d171258c34fbab688ee1d0bed134438251dff46014519a4c0c3c7e97e,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,128,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_42/checkpoints/checkpoint-10.pt,81b9a963ec311c33358ad9fd62a57673cdad30f4b4e5e332e3bde87b96dc7e5f,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,128,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_123/checkpoints/checkpoint-10.pt,53e892f62f7dabcf89cdef3928cc897d2b1af9ac86e6c93276db042bf914a537,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,Energy,128,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_0/checkpoints_128/checkpoint-10.pt,bbf7b497e1ebb03483063ec9362cfa208c651dc924b7a5a82565e78dc678e858,18000,True,True,
Diffusion-TS,Energy,128,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_42/checkpoints_128/checkpoint-10.pt,d85820f961cf5234658ea289f6aedafa4a94e0b4a9dbc15593e3f1e9567c8a69,18000,True,True,
Diffusion-TS,Energy,128,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_123/checkpoints_128/checkpoint-10.pt,cde40fad788eaedce1960dd5e74e949a6654ba5b83dfa6f427f49c39568ec740,18000,True,True,
PETS-U,Energy,64,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_0/checkpoints/checkpoint-10.pt,bf523f5f818438118239656d968181cfe4f4ebd7f1659c1c11527ae0a882f536,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,64,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_42/checkpoints/checkpoint-10.pt,d8f0b8ec197063acf4bd3e295e32aa1926d41a66e83a9d1968ad9b90887468db,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,64,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_123/checkpoints/checkpoint-10.pt,6396a84c2a0ea97d0f8caf0fc02e6dd327edb4cdb82c242acd0fcb5e4549f877,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,Energy,64,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_0/checkpoints_64/checkpoint-10.pt,336c44c63d7e95e4394e0aeb794356758efc2fa900d695479c31cd691ecd6cf5,18000,True,True,
Diffusion-TS,Energy,64,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_42/checkpoints_64/checkpoint-10.pt,6c1da7e6825becf3017c85e0b66a39e2cbc19e1af1c520acba34e6ad8a42c2b9,18000,True,True,
Diffusion-TS,Energy,64,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_123/checkpoints_64/checkpoint-10.pt,f133759f6738a08bcf17a728e59bccd3acfae5d5211dafafd4dc6fdcea422464,18000,True,True,
PETS-U,Energy,256,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_0/checkpoints/checkpoint-10.pt,67e2d1b676ae30887ab0e9df729628b0696b6460e85247f1bb50304917f03c71,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,256,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_42/checkpoints/checkpoint-10.pt,f7fd1833f3b4a780794c9bce58bd61efaf587a2a6813de9fa1ab9e64e2b29af1,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
PETS-U,Energy,256,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_123/checkpoints/checkpoint-10.pt,0f98194d31293cc9da4ae909384cf3ee498d14d15c669f8dc40dab5874c5d943,18000,True,True,4aa3638ba34482165326dc9114c6c87b1ed0180e
Diffusion-TS,Energy,256,0,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_0/checkpoints_256/checkpoint-10.pt,49b8adf646e0059991ed424cb7f8227b8dd45c7f50703083ae1784e804cb6c48,18000,True,True,
Diffusion-TS,Energy,256,42,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_42/checkpoints_256/checkpoint-10.pt,df6731ec5c73dd71e52af3812339a662c8d965bb8acae49edf7a160d2baccb38,18000,True,True,
Diffusion-TS,Energy,256,123,TRAIN_COMPLETE,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_123/checkpoints_256/checkpoint-10.pt,f7e229c25003a1cf5925c110a8f39fcf60217fc205816915b8ae7d5e8ee21750,18000,True,True,
