priority,family,dataset,sequence_length,model_seed,config,checkpoint,training_status,reuse_verdict
10,Diffusion-TS,ETTh,256,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T256_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_42/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
11,Diffusion-TS,ETTh,256,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_ETTh_T256_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_123/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
12,PETS-U,ETTh,128,0,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_0/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
13,PETS-U,ETTh,128,42,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_42/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
14,PETS-U,ETTh,128,123,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_123/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
15,Diffusion-TS,ETTh,128,0,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_0/configs/config.yaml,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_0/checkpoints_128/checkpoint-10.pt,REUSED,REUSE_EXACT
16,Diffusion-TS,ETTh,128,42,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_42/configs/config.yaml,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_42/checkpoints_128/checkpoint-10.pt,REUSED,REUSE_EXACT
17,Diffusion-TS,ETTh,128,123,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_123/configs/config.yaml,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_123/checkpoints_128/checkpoint-10.pt,REUSED,REUSE_EXACT
18,PETS-U,AirQuality,128,0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_0/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
19,PETS-U,AirQuality,128,42,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_42/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
20,PETS-U,AirQuality,128,123,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_123/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
21,Diffusion-TS,AirQuality,128,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T128_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_0/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
22,Diffusion-TS,AirQuality,128,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T128_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_42/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
23,Diffusion-TS,AirQuality,128,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T128_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_123/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
24,PETS-U,AirQuality,64,0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_0/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
25,PETS-U,AirQuality,64,42,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_42/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
26,PETS-U,AirQuality,64,123,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_123/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
27,Diffusion-TS,AirQuality,64,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T64_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_0/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
28,Diffusion-TS,AirQuality,64,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T64_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_42/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
29,Diffusion-TS,AirQuality,64,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T64_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_123/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
30,PETS-U,AirQuality,256,0,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_0/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_0/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
31,PETS-U,AirQuality,256,42,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_42/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_42/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
32,PETS-U,AirQuality,256,123,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_123/manifests/config_resolved.yaml,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_123/checkpoints/checkpoint-10.pt,REUSED,REUSE_EXACT
33,Diffusion-TS,AirQuality,256,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T256_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_0/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
34,Diffusion-TS,AirQuality,256,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T256_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_42/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
35,Diffusion-TS,AirQuality,256,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_AirQuality_T256_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_123/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
36,PETS-U,Energy,128,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T128_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_0/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
37,PETS-U,Energy,128,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T128_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_42/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
38,PETS-U,Energy,128,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T128_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T128/seed_123/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
39,Diffusion-TS,Energy,128,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T128_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_0/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
40,Diffusion-TS,Energy,128,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T128_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_42/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
41,Diffusion-TS,Energy,128,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T128_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T128/seed_123/checkpoints_128/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
42,PETS-U,Energy,64,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T64_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_0/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
43,PETS-U,Energy,64,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T64_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_42/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
44,PETS-U,Energy,64,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T64_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T64/seed_123/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
45,Diffusion-TS,Energy,64,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T64_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_0/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
46,Diffusion-TS,Energy,64,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T64_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_42/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
47,Diffusion-TS,Energy,64,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T64_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T64/seed_123/checkpoints_64/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
48,PETS-U,Energy,256,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T256_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_0/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
49,PETS-U,Energy,256,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T256_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_42/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
50,PETS-U,Energy,256,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/PETS_U_Energy_T256_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/PETS_U/Energy/T256/seed_123/checkpoints/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
51,Diffusion-TS,Energy,256,0,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T256_seed0.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_0/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
52,Diffusion-TS,Energy,256,42,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T256_seed42.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_42/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
53,Diffusion-TS,Energy,256,123,/path/to/PETS-FFT-Ablation/reports/final_unconditional_main_v1/resolved_configs/Diffusion_TS_Energy_T256_seed123.yaml,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/Energy/T256/seed_123/checkpoints_256/checkpoint-10.pt,PENDING,RETRAIN_REQUIRED
