Class,Concentration,Sensor1_DR,Sensor1_ADR,Sensor1_P_EMA,Sensor2_M_EMA,Sensor2_DR,Sensor2_ADR,Sensor2_P_EMA,Sensor2_M_EMA,Sensor3_DR,Sensor3_ADR,Sensor3_P_EMA,Sensor3_M_EMA,Sensor4_DR,Sensor4_ADR,Sensor4_P_EMA,Sensor4_M_EMA,Sensor5_DR,Sensor5_ADR,Sensor5_P_EMA,Sensor5_M_EMA,Sensor6_DR,Sensor6_ADR,Sensor6_P_EMA,Sensor6_M_EMA,Sensor7_DR,Sensor7_ADR,Sensor7_P_EMA,Sensor7_M_EMA,Sensor8_DR,Sensor8_ADR,Sensor8_P_EMA,Sensor8_M_EMA,Sensor9_DR,Sensor9_ADR,Sensor9_P_EMA,Sensor9_M_EMA,Sensor10_DR,Sensor10_ADR,Sensor10_P_EMA,Sensor10_M_EMA,Sensor11_DR,Sensor11_ADR,Sensor11_P_EMA,Sensor11_M_EMA,Sensor12_DR,Sensor12_ADR,Sensor12_P_EMA,Sensor12_M_EMA,Sensor13_DR,Sensor13_ADR,Sensor13_P_EMA,Sensor13_M_EMA,Sensor14_DR,Sensor14_ADR,Sensor14_P_EMA,Sensor14_M_EMA,Sensor15_DR,Sensor15_ADR,Sensor15_P_EMA,Sensor15_M_EMA,Sensor16_DR,Sensor16_ADR,Sensor16_P_EMA,Sensor16_M_EMA
1,250,163000.9179,8.876758,64.591719,-36.673285,137616.2617,7.71881,54.206041,-29.322383,23202.8655,13.073737,8.024295,-9.361524,21810.2904,12.2286,7.518762,-8.315959,5842.3672,6.492537,2.895029,-2.958047,6710.8657,6.690827,3.401483,-3.282359,26497.2565,17.340026,11.180633,-12.929419,27378.2035,16.888209,11.198192,-13.098021,125761.8574,7.960131,46.286065,-27.866656,139176.6875,7.405601,53.017596,-30.203533,26020.3923,13.275058,8.419678,-9.931052,18866.8314,14.585528,6.624714,-7.707789,6932.8183,6.589202,4.057703,-3.477645,7517.9517,6.801879,4.625986,-3.84523,30890.3988,18.959049,11.722512,-16.306911,25603.6466,18.729692,10.846281,-13.901507
1,225,171024.1953,9.242443,68.239326,-37.051979,144485.3789,7.994448,57.437128,-30.34749,25110.9109,13.920139,8.368823,-10.081613,23367.4825,12.977291,7.854103,-9.284916,6276.4426,6.862168,3.014779,-3.276135,7143.7278,7.030834,3.569929,-3.758016,28550.2717,18.456791,11.592915,-14.558083,29306.3668,17.884298,11.641147,-15.183221,132260.4922,8.201,48.986963,-27.785608,146206.5039,7.682061,56.579209,-30.984886,27878.3755,14.044008,8.800142,-11.027587,20428.671,15.585876,6.934402,-8.354255,7375.6701,6.92265,4.166078,-4.073167,8057.3723,7.16084,4.715003,-4.325876,33177.2428,20.231057,12.011971,-18.356941,27670.4297,19.909245,11.070776,-15.217791
1,10,18492.2539,2.034586,3.278644,-3.77582,18257.7539,1.951606,3.290231,-3.550858,3029.5006,2.552993,0.676074,-0.645037,2850.5541,2.498428,0.618209,-0.633402,807.2285,1.719344,0.253678,-0.344868,943.4888,1.778137,0.292469,-0.306287,3463.6507,3.173847,0.901782,-0.92663,3511.6522,3.121398,0.910587,-0.985796,16023.8907,1.925166,2.933774,-3.072105,16202.1426,1.854945,2.906552,-3.306025,3341.0796,2.606118,0.787075,-0.731016,2430.184,2.748054,0.565025,-0.578137,1024.2987,1.808981,0.331486,-0.339479,1202.8857,1.884815,0.384432,-0.377585,3772.1027,3.315458,0.986551,-1.035493,3355.9452,3.398649,0.904815,-0.942258
1,20,32765.4004,2.830663,7.910386,-7.01673,30525.2403,2.576896,7.730119,-6.238512,4880.9884,3.416385,1.522014,-1.192674,4684.4281,3.387678,1.426769,-1.130556,1293.1499,2.120899,0.550741,-0.463506,1516.2697,2.21435,0.661279,-0.534753,5559.3723,4.335687,2.169419,-1.684716,5722.8627,4.318095,2.191879,-1.735051,26669.3535,2.520555,6.873676,-5.42679,28599.6484,2.507501,6.943034,-5.970044,5475.4927,3.554187,1.675691,-1.320119,3917.6012,3.701639,1.259549,-1.038247,1627.1033,2.251082,0.80745,-0.724097,1848.5208,2.319029,0.868833,-0.653816,6184.1129,4.651671,2.409759,-1.900575,5366.9767,4.676245,2.198673,-1.691004
1,30,43883.3906,3.509948,12.454272,-9.744027,40370.5078,3.078396,11.881867,-8.509787,6504.9117,4.061767,2.267143,-1.603012,6160.3508,4.006591,2.180357,-1.54716,1721.4244,2.477589,0.846563,-0.612722,1995.9986,2.585988,1.024123,-0.735123,7404.4971,5.22823,3.316629,-2.333731,7554.3451,5.198552,3.413655,-2.454428,35523.2988,3.027075,10.520322,-7.724992,38239.2207,3.067,10.843733,-8.199083,7189.9985,4.207,2.553455,-1.806837,5254.1185,4.459934,1.887452,-1.416617,2110.8446,2.608619,1.202431,-0.804195,2418.2873,2.703185,1.335786,-0.951106,8158.8399,5.589908,3.794376,-2.713817,7131.5542,5.634858,3.41664,-2.365741
1,40,53080.8145,3.949591,16.872418,-12.027091,48913.9453,3.547031,16.044209,-10.393474,7879.855,4.473795,3.014617,-2.06439,7464.1677,4.382497,2.854481,-1.961248,2092.7894,2.754689,1.135457,-0.793916,2420.8119,2.873332,1.36343,-0.925319,9026.3186,5.811712,4.480759,-3.039549,9232.6685,5.750987,4.524684,-3.133335,43253.1075,3.504478,14.11675,-9.117651,45975.9863,3.408614,14.471413,-10.136373,8726.7266,4.597274,3.326251,-2.285219,6398.2838,4.978482,2.508491,-1.790452,2543.1875,2.881166,1.588145,-1.012616,2900.9732,3.002325,1.827928,-1.055439,10023.0337,6.21868,5.085168,-3.538838,8694.4926,6.280558,4.643257,-3.045551
1,50,61543.6621,4.556067,20.563837,-14.628059,55968.9785,3.966113,19.738346,-12.299047,8929.6389,4.763606,3.575953,-2.504846,8436.7192,4.685398,3.456564,-2.377996,2367.3129,2.938676,1.30884,-1.023865,2732.8248,3.082614,1.590928,-1.099329,10262.1674,6.235652,5.269928,-3.674862,10461.6583,6.179154,5.399087,-3.86487,49544.7813,3.90352,17.371535,-10.786207,53314.6739,3.890967,17.866817,-11.769795,9864.4314,4.917438,4.039893,-2.825294,7279.9713,5.322606,2.956907,-2.20476,2855.8387,3.089064,1.861701,-1.175368,3256.1267,3.193038,2.097317,-1.27398,11402.4692,6.719993,6.06954,-4.048882,9884.848,6.746849,5.482808,-3.757254
1,75,80026.4473,5.490876,28.271656,-18.503294,71804.3028,4.85616,26.68063,-15.645973,11551.6048,5.950049,4.619243,-3.379675,10911.8367,5.749249,4.406441,-3.601624,3054.9296,3.540956,1.699578,-1.249699,3511.8995,3.676327,2.027256,-1.463438,13276.9672,7.874785,6.789164,-5.127037,13623.6184,7.743731,6.88984,-5.233371,64302.4648,4.864582,23.677453,-13.916889,68981.711,4.643918,24.276592,-15.529235,12801.9881,6.068612,5.143853,-3.740761,9423.4055,6.688145,3.781439,-2.922919,3654.9092,3.672767,2.375611,-1.548934,4113.7443,3.815339,2.748745,-1.860597,14918.5645,8.457535,7.913979,-5.985368,12764.2335,8.520374,7.246145,-5.071365
1,100,96025.6778,6.449523,33.883861,-22.250931,84133.5273,5.429291,31.634178,-18.435532,13941.1028,6.977792,5.333176,-4.476189,13249.1768,6.825727,5.148224,-4.169849,3649.1459,4.04814,2.031165,-1.633332,4219.5653,4.230482,2.426816,-1.832192,16008.1553,9.313913,7.989644,-6.761087,16557.2825,9.247693,8.161527,-6.966192,75695.5957,5.449403,27.857131,-16.557265,82633.1328,5.406647,29.032482,-18.382856,15582.7742,7.226141,5.934438,-4.907031,11363.8026,7.85483,4.350601,-4.081875,4375.6342,4.22011,2.879565,-2.127456,4851.8072,4.33704,3.255116,-2.173396,18240.4509,10.215093,9.334905,-7.592046,15395.3915,10.098033,8.519378,-6.463056
1,125,109113.2774,7.17743,39.590805,-25.062168,94882.2227,6.009934,36.967916,-20.788334,16095.2173,7.786557,6.146669,-5.467908,15179.0303,7.56495,6.01507,-5.054368,4179.4489,4.45689,2.341549,-1.948688,4801.7006,4.66332,2.851054,-2.229606,18488.3413,10.393482,9.243546,-8.166869,19033.3258,10.325855,9.516113,-8.507354,85845.1132,6.051984,32.368429,-18.758446,93810.7597,6.003085,33.915293,-20.846765,17921.7927,8.057804,6.857089,-5.961132,13108.0263,8.746295,5.00979,-4.665127,4961.8947,4.627983,3.386697,-2.438509,5498.7719,4.731514,3.780043,-2.647239,21064.5902,11.43189,10.847147,-9.364248,17782.73,11.261076,9.895383,-7.789058
1,150,121232.4023,7.78883,42.078983,-27.619033,105177.0195,6.604438,39.034382,-23.061635,18215.9671,8.818275,6.7128,-6.216546,17014.3881,8.415638,6.609052,-5.818837,4671.0019,4.905692,2.587844,-2.099691,5316.4794,5.072221,3.146506,-2.433403,20878.3064,11.788732,10.029507,-9.089568,21346.9289,11.54469,10.222024,-9.593358,95370.041,6.684545,34.172804,-20.686276,104044.3613,6.459386,35.482907,-23.056061,20135.1343,8.9857,7.437929,-6.906046,14819.2234,9.908276,5.530036,-5.280575,5478.8023,5.013334,3.740148,-2.595231,6096.5156,5.182083,4.170422,-3.153953,23731.6905,12.831167,11.454819,-11.259306,20065.906,12.729891,10.509162,-8.967695
1,175,132692.5859,8.381296,47.088175,-30.405505,113845.0371,7.096412,42.958458,-24.478992,20242.041,9.7082,7.402657,-7.308882,19068.5537,9.2763,7.153438,-6.682804,5137.4545,5.287672,2.820814,-2.532465,5896.1964,5.482661,3.382743,-2.812196,23127.4104,12.902426,10.94271,-10.897194,23915.5882,12.750633,11.066434,-11.238295,103421.5606,7.175184,37.59969,-22.464378,113830.4883,6.922633,39.196365,-25.298184,22648.3958,9.96432,8.037927,-7.886128,16435.2394,10.866577,6.115544,-6.13373,6075.1934,5.415491,4.059519,-3.025631,6648.8115,5.543623,4.557311,-3.356515,26758.7399,14.267269,12.368167,-12.839637,22278.5454,13.975897,11.37758,-10.743304
1,200,142473.4082,8.592894,51.869412,-32.74844,121571.7734,7.282979,46.126895,-26.171252,22224.7097,10.879684,7.913317,-8.248566,20850.3855,10.313197,7.581788,-7.903722,5568.2036,5.672627,3.012184,-2.815404,6365.3183,5.867834,3.575248,-3.112657,25302.1457,14.425485,11.523664,-12.243815,26070.32,14.150572,11.591854,-12.565206,110899.9062,7.483295,40.095984,-23.900993,122231.9667,7.135353,42.350448,-27.030333,24805.5388,11.092061,8.529523,-8.851158,18010.7536,12.174777,6.55094,-7.107625,6552.0693,5.78846,4.295995,-3.351842,7167.6718,5.941485,4.851272,-3.704113,29272.3987,15.832177,12.871264,-14.58534,24378.5829,15.604127,11.895357,-12.214348
1,225,151933.4667,9.025219,55.857809,-34.515722,129037.539,7.681391,48.750245,-27.408916,24141.4487,11.811451,8.480789,-9.630835,22675.8603,11.162864,8.079005,-8.755716,5978.7761,6.016306,3.207943,-3.313418,6848.5055,6.209968,3.776428,-3.510101,27463.1001,15.677615,12.149013,-13.988289,28370.6692,15.337964,12.161205,-14.282885,117899.6192,7.905041,42.091969,-24.908095,130313.3848,7.481845,45.182486,-28.055649,27054.7766,12.059391,9.04781,-10.349243,19540.5915,13.190308,7.053447,-8.004609,7046.9302,6.111581,4.510092,-3.757857,7655.3233,6.276126,5.082617,-4.179443,31967.8293,17.217109,13.345481,-16.782776,26485.5101,16.938197,12.360418,-14.149122
1,250,161261.5644,9.45496,60.857386,-35.645967,136542.7793,7.966084,52.827756,-28.90447,26006.938,12.499785,8.910546,-10.444311,24255.1775,11.754266,8.512745,-9.502781,6384.0915,6.349966,3.306066,-3.425005,7280.3675,6.561414,3.912582,-3.844213,29508.7524,16.543644,12.643734,-15.135285,30391.1269,16.204472,12.697411,-15.641705,124763.8671,8.174186,44.74714,-26.516132,138201.1387,7.803816,49.342118,-29.69859,28957.4546,12.70058,9.549064,-11.315612,21040.9808,13.968281,7.389857,-8.605341,7480.4731,6.441022,4.650463,-4.148854,8142.3167,6.605169,5.230389,-4.508557,34328.6145,18.261312,13.683677,-18.646377,28491.7481,17.924156,12.645578,-15.554468
1,275,170865.1113,10.083784,63.780167,-37.277468,143351.4258,8.233921,56.364045,-30.3757,27667.7886,13.591994,9.098913,-11.32527,25790.7497,12.857729,8.840025,-10.289543,6754.7877,6.735987,3.367354,-3.800585,7699.1678,6.983893,4.068391,-4.169248,31385.8487,18.009221,12.847321,-16.488388,32293.9608,17.790188,13.001096,-16.95944,131134.9042,8.405874,47.388711,-27.56002,146175.8945,8.282596,51.652456,-30.499451,30856.0008,13.974996,9.89526,-12.245817,22357.9832,15.090259,7.490348,-9.989892,7920.7076,6.876171,4.823804,-4.519422,8579.0622,6.955661,5.350634,-4.885482,36631.4547,20.093543,14.031978,-20.226924,30337.9099,19.457748,12.941562,-16.842846
1,10,17503.5586,1.956871,2.998929,-3.567234,16782.2109,1.808212,2.902543,-3.355621,2975.1584,2.670548,0.542533,-0.610096,2776.83,2.644232,0.489299,-0.587604,795.0215,1.739926,0.195014,-0.241853,914.7268,1.804301,0.217565,-0.319171,3354.3449,3.509161,0.663677,-0.82278,3373.7648,3.509933,0.646976,-0.875238,14421.8008,1.762536,2.517772,-2.921162,15416.1133,1.807161,2.679733,-3.13944,3260.1506,2.777794,0.58914,-0.660746,2363.4938,2.888202,0.439762,-0.515959,1004.119,1.858448,0.241067,-0.359313,1202.5899,1.942406,0.286142,-0.340587,3605.1993,3.817435,0.742875,-0.96919,3279.0542,3.863368,0.649267,-0.825143
1,20,32189.4804,2.921596,9.00907,-6.658714,29119.7402,2.440579,8.213873,-6.003925,4311.104,2.943378,1.270101,-1.090109,4053.0974,2.947731,1.235362,-1.04346,1183.0722,2.02297,0.456566,-0.418237,1364.0332,2.113876,0.561298,-0.528759,4906.016,3.785764,1.754775,-1.510787,4951.6296,3.803418,1.816545,-1.617251,24949.1367,2.340822,7.255378,-5.199781,27505.0605,2.500201,7.836419,-5.785609,4716.8388,3.052729,1.425832,-1.203277,3483.0151,3.232768,1.054835,-0.934752,1452.7727,2.136986,0.655575,-0.577049,1711.5544,2.218535,0.780408,-0.594722,5301.9458,4.074448,1.995841,-1.803218,4790.2446,4.103164,1.779788,-1.509199
1,30,44287.1641,3.580385,11.995858,-9.864223,39920.4532,2.946007,11.127067,-9.845262,5897.1945,3.766683,2.016231,-1.501834,5524.0235,3.756196,1.961687,-1.57634,1597.9989,2.407086,0.741048,-0.559392,1828.9823,2.51946,0.932611,-0.688977,6652.4614,4.877177,2.83831,-2.113419,6709.5747,4.920158,2.98771,-2.317015,34736.461,2.865211,9.749781,-7.547357,38504.4297,3.106579,10.520633,-8.37936,6440.7002,3.919981,2.277581,-1.704889,4773.1163,4.160702,1.666608,-1.314852,1936.5616,2.545089,1.087061,-0.75469,2246.9083,2.612547,1.155907,-0.761867,7214.2091,5.29432,3.312683,-2.513027,6470.9114,5.266675,2.946932,-2.116484
1,40,52472.1953,3.817147,16.472064,-12.097874,47473.6543,3.240946,15.430662,-10.549939,7324.0581,4.359529,2.719186,-1.960431,6898.7045,4.335356,2.635293,-1.917269,2003.1366,2.748581,1.002367,-0.752691,2298.7262,2.881876,1.257875,-0.920627,8279.1685,5.686742,3.875044,-2.9306,8443.1455,5.746835,4.070555,-3.088105,41547.1289,3.153436,13.39639,-9.180427,45619.8125,3.34507,14.359288,-10.249171,8039.8374,4.530967,3.090926,-2.21146,5946.9375,4.85194,2.216163,-1.711996,2427.0498,2.908138,1.472992,-1.011611,2769.1819,2.976274,1.5621,-1.086569,9160.7558,6.230444,4.557693,-3.465219,8058.3226,6.162144,4.022892,-2.881073
1,50,61094.0058,4.034831,19.878551,-14.361441,54661.2364,3.602266,18.626696,-12.174848,8179.6635,4.849182,3.413496,-2.325536,7907.4909,4.80736,3.242611,-2.190544,2204.954,2.917642,1.317219,-0.908555,2581.9937,3.057003,1.569816,-1.058321,9318.2994,6.350583,4.946032,-3.419719,9705.5924,6.350988,5.076134,-3.476841,47894.6231,3.500269,16.29654,-10.671967,52526.1875,3.490762,17.018323,-11.963377,9264.582,5.050511,3.774447,-2.539126,6634.6489,5.405964,2.817997,-2.035499,2714.6912,3.066499,1.821776,-1.071751,3006.655,3.14867,2.086807,-1.244116,10642.6209,6.932877,5.778251,-3.912251,9036.2988,6.866157,5.199387,-3.478379
1,75,80555.1191,5.485808,26.834258,-18.778034,71522.3223,4.640408,25.334549,-15.976653,11043.6475,6.88494,3.96114,-3.170373,10372.2675,6.69073,3.817595,-3.050151,2937.7048,3.689578,1.423642,-1.158345,3355.6266,3.854931,1.755234,-1.392386,12462.8487,9.197689,5.511758,-4.626361,12752.4537,9.129517,5.756899,-4.966402,63318.4257,4.477987,21.827453,-14.727202,68837.2597,4.519071,23.027643,-15.711201,12139.2668,7.083173,4.512835,-3.564459,8955.8839,7.659671,3.175557,-2.734816,3500.1824,3.84872,2.055385,-1.515801,3959.4063,3.997836,2.216307,-1.52763,13972.1034,10.043632,6.505232,-5.619021,12079.1309,9.990545,5.863098,-4.704544
1,100,96959.2344,6.335302,34.652148,-22.464628,85113.9492,5.395607,32.420905,-18.850564,13142.5713,7.515468,4.924205,-4.047662,12375.238,7.29427,4.762263,-3.828803,3484.6635,4.129969,1.862627,-1.479892,3984.6331,4.309183,2.291629,-1.735403,14945.0294,10.000669,7.158204,-6.011256,15364.3043,9.922055,7.445006,-6.387742,76021.7851,5.275803,28.195318,-16.874943,82942.0254,5.284372,29.695027,-18.644479,14546.3267,7.742435,5.525208,-4.519033,10690.1103,8.423365,3.944779,-3.468119,4141.1459,4.275445,2.705121,-1.878607,4611.2196,4.39558,2.984296,-1.984536,16958.0804,10.88992,8.619396,-7.238165,14477.373,10.763377,7.820966,-6.074594
